INDEX_NR
INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,INGESTED_OTHER,INDICATED_DAMAGE,DAMAGE_LEVEL,SPECIES_ID,SPECIES,OUT_OF_RANGE_SPECIES,REMAINS_COLLECTED,REMAINS_SENT,WARNED,NUM_SEEN,NUM_STRUCK,SIZE,PERSON
1610513,03/09/2024,9,2024,01:00,Night,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N973AN,2625,A-321,04A,7,23,1,A  ,4,D,2,1,1,,,Approach,1000,140,4,Overcast,None,,0,0,N,UNKB,Unknown bird,0,0,0,No,,1,,Air Transport Operations
1610514,21/08/2024,8,2024,09:50,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N323SG,833,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Take-off Run,0,,0,No Cloud,,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Unknown,1,1,Small,Pilot
1610516,10/09/2024,9,2024,17:45,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N323RM,1124,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Approach,10,120,0,Overcast,Snow,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Unknown,1,1,Small,Pilot
1610517,17/09/2024,9,2024,21:30,Night,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N336RU,563,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Climb,3000,230,7,Some Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Pilot
1610518,19/08/2024,8,2024,07:39,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N214NN,3353,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Approach,50,,0,No Cloud,None,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Unknown,,1,Small,Pilot
1610519,01/10/2024,10,2024,15:15,Day,KMIA,MIAMI INTL,LCO,LAN CARGO COLUMBIA,CC-BFE,4402,A-320,04A,3,10,1,A  ,4,D,2,1,1,,,Approach,7,100,0,Some Cloud,,,0,1,M?,UNKBS,Unknown bird - small,0,0,0,Yes,02-oct,1,Small,Air Transport Operations
1610520,04/09/2024,9,2024,19:00,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N335RT,572,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Approach,400,155,2,Overcast,Rain,,0,0,N,UNKBM,Unknown bird - medium,0,0,0,No,02-oct,1,Medium,Other
1610521,01/10/2024,10,2024,20:00,Dusk,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N858NN,1233,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Approach,1000,150,4,5,Some Cloud,None,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Unknown,,02-oct,Small,Pilot
1610522,11/08/2024,8,2024,17:15,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N318TD,1144,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Approach,4000,250,14,Some Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,No,,1,,Pilot
1610524,01/10/2024,10,2024,15:00,Day,KMIA,MIAMI INTL,SWA,SOUTHWEST AIRLINES,N7743B,127,B-737-700,148,42,10,1,A  ,4,D,2,1,1,,,Approach,1000,150,5,No Cloud,None,0,5,0,0,N,YI005,Barn swallow,0,0,0,Unknown,02-oct,1,Small,Pilot
1610541,02/10/2024,10,2024,14:45,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N874AN,113,B-787-8,148,,22,,A  ,4,D,2,1,1,,,Approach,3000,210,17,No Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Pilot
1610542,03/10/2024,10,2024,     ,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N269NN,4110,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Approach,1000,130,5,No Cloud,None,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Unknown,1,1,Small,Other
1610805,05/10/2024,10,2024,08:18,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N348TU,2591,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Approach,500,150,3,No Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,No,,1,,Pilot
